test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M3107_N338_C18_id000.txt,338,3107,18,9478,9478,9478,42.852,2.676,2511.045
rand_M311_N73_C8_id000.txt,73,311,8,886,886,886,1.189,0.127,12.753
rand_M3120_N339_C18_id000.txt,339,3120,18,9261,9261,9261,38.831,2.824,2266.756
rand_M3134_N340_C18_id000.txt,340,3134,18,9487,9487,9487,41.463,2.897,2515.939
rand_M3148_N341_C18_id000.txt,341,3148,18,9788,9788,9788,43.687,2.934,2652.346
rand_M3162_N342_C18_id000.txt,342,3162,18,9904,9904,9904,46.524,2.82,2718.106
rand_M3176_N343_C18_id000.txt,343,3176,18,9448,9448,9448,42.921,3.383,2325.646
rand_M318_N74_C8_id000.txt,74,318,8,888,888,888,1.403,0.121,14.24
rand_M3190_N344_C18_id000.txt,344,3190,18,9780,9780,9780,42.307,2.836,2501.91
rand_M3204_N345_C18_id000.txt,345,3204,18,9583,9583,9583,42.627,2.709,2453.507
rand_M3217_N346_C18_id000.txt,346,3217,18,9156,9156,9156,40.404,2.493,2243.748
rand_M3231_N347_C18_id000.txt,347,3231,18,9560,9560,9560,44.159,2.802,2384.753
rand_M3245_N348_C18_id000.txt,348,3245,18,9518,9518,9518,39.568,2.824,2392.708
rand_M324_N75_C8_id000.txt,75,324,8,973,973,973,1.415,0.153,14.454
rand_M3259_N349_C18_id000.txt,349,3259,18,9993,9993,9993,45.786,2.878,2629.211
rand_M3273_N350_C18_id000.txt,350,3273,18,9672,9672,9672,44.086,3.145,2467.122
rand_M3287_N351_C18_id000.txt,351,3287,18,9950,9950,9950,44.988,2.789,2651.123
rand_M32_N16_C4_id000.txt,16,32,4,116,116,116,0.133,0.013,0.214
rand_M3302_N352_C18_id000.txt,352,3302,18,10244,10244,10244,47.377,2.882,2785.045
rand_M3316_N353_C18_id000.txt,353,3316,18,9417,9417,9417,41.403,2.542,2336.644
rand_M331_N76_C8_id000.txt,76,331,8,982,982,982,1.426,0.12,13.943
rand_M3330_N354_C18_id000.txt,354,3330,18,9970,9970,9970,43.505,2.66,2749.49
rand_M3344_N355_C18_id000.txt,355,3344,18,9428,9428,9428,40.965,2.742,2383.052
rand_M3358_N356_C18_id000.txt,356,3358,18,10297,10297,10297,45.975,2.94,2973.806
rand_M3372_N357_C18_id000.txt,357,3372,18,9842,9842,9842,44.973,3.096,2620.925
rand_M337_N77_C8_id000.txt,77,337,8,932,932,932,1.191,0.144,14.398
rand_M3386_N358_C18_id000.txt,358,3386,18,10020,10020,10020,47.833,3.115,2726.636
rand_M3401_N359_C18_id000.txt,359,3401,18,9626,9626,9626,41.603,2.77,2413.458
rand_M3415_N360_C18_id000.txt,360,3415,18,9645,9645,9645,45.135,2.749,2619.839
rand_M3429_N361_C19_id000.txt,361,3429,19,10598,10598,10598,52.88,3.138,3047.977
rand_M3443_N362_C19_id000.txt,362,3443,19,10871,10871,10871,52.599,3.557,3273.129
rand_M344_N78_C8_id000.txt,78,344,8,991,991,991,1.616,0.14,15.991
rand_M3458_N363_C19_id000.txt,363,3458,19,10656,10656,10656,49.26,3.54,3112.139
rand_M3472_N364_C19_id000.txt,364,3472,19,10653,10653,10653,49.402,4.089,3028.645
rand_M3486_N365_C19_id000.txt,365,3486,19,10734,10734,10734,50.123,4.087,3307.696
rand_M3500_N366_C19_id000.txt,366,3500,19,10364,10364,10364,48.726,4.034,3013.0
rand_M3515_N367_C19_id000.txt,367,3515,19,10544,10544,10544,51.496,4.062,3077.866
rand_M351_N79_C8_id000.txt,79,351,8,960,960,960,1.269,0.13,13.667
rand_M3529_N368_C19_id000.txt,368,3529,19,10796,10796,10796,50.588,3.259,3138.668
